PRODUCT,PROCESS,MACHINE,TIME_SLOT
Product 1,Assembly,6,1
Product 1,Assembly,2,1
Product 2,Assembly,4,1
Product 3,Assembly,1,1
Product 3,Assembly,7,1
Product 3,Assembly,3,1
Product 3,Assembly,5,1
Product 1,Assembly,3,2
Product 1,Assembly,5,2
Product 1,Assembly,7,2
Product 2,Assembly,1,2
Product 3,Testing,3,2
Product 1,Assembly,2,3
Product 1,Testing,4,3
Product 1,Testing,2,3
Product 3,Assembly,6,3
Product 3,Testing,6,3
Product 3,Testing,1,3
Product 3,Testing,7,3
Product 1,Testing,5,4
Product 1,Testing,4,4
Product 1,Testing,3,4
Product 1,Packaging,3,4
Product 1,Packaging,6,4
Product 2,Assembly,4,4
Product 2,Assembly,5,4
Product 2,Assembly,7,4
Product 2,Testing,2,4
Product 3,Assembly,3,4
Product 3,Assembly,6,4
Product 3,Packaging,5,4
Product 1,Testing,6,5
Product 1,Packaging,2,5
Product 1,Loading,2,5
Product 2,Assembly,1,5
Product 2,Assembly,2,5
Product 2,Testing,7,5
Product 3,Assembly,3,5
Product 3,Assembly,6,5
Product 3,Testing,1,5
Product 3,Testing,4,5
Product 3,Testing,3,5
Product 3,Packaging,1,5
Product 3,Packaging,3,5
Product 1,Assembly,6,6
Product 1,Packaging,2,6
Product 1,Packaging,7,6
Product 1,Packaging,4,6
Product 1,Loading,1,6
Product 1,Loading,3,6
Product 2,Packaging,6,6
Product 3,Assembly,3,6
Product 3,Testing,6,6
Product 3,Testing,2,6
Product 3,Packaging,5,6
Product 3,Loading,4,6
Product 1,Assembly,4,7
Product 1,Assembly,5,7
Product 1,Assembly,3,7
Product 1,Loading,2,7
Product 1,Loading,5,7
Product 1,Loading,6,7
Product 2,Assembly,7,7
Product 2,Testing,3,7
Product 2,Testing,1,7
Product 2,Testing,5,7
Product 2,Packaging,6,7
Product 2,Loading,3,7
Product 3,Packaging,4,7
Product 3,Packaging,1,7
Product 3,Packaging,7,7
Product 3,Loading,1,7
Product 3,Loading,7,7
Product 1,Testing,2,8
Product 2,Assembly,1,8
Product 2,Assembly,2,8
Product 2,Testing,4,8
Product 2,Loading,6,8
Product 3,Testing,6,8
Product 3,Packaging,5,8
Product 3,Loading,4,8
Product 1,Testing,7,9
Product 1,Testing,5,9
Product 1,Testing,1,9
Product 1,Packaging,4,9
Product 2,Testing,2,9
Product 2,Packaging,7,9
Product 2,Packaging,6,9
Product 2,Packaging,2,9
Product 3,Packaging,1,9
Product 3,Loading,3,9
Product 3,Loading,6,9
Product 3,Loading,1,9
Product 1,Packaging,4,10
Product 1,Packaging,6,10
Product 1,Packaging,7,10
Product 1,Loading,7,10
Product 2,Testing,1,10
Product 2,Packaging,5,10
Product 2,Loading,4,10
Product 2,Loading,2,10
Product 2,Loading,5,10
Product 1,Loading,5,11
Product 1,Loading,3,11
Product 1,Loading,2,11
Product 2,Testing,5,11
Product 2,Testing,2,11
Product 2,Packaging,5,11
Product 2,Loading,6,11
Product 3,Packaging,1,11
Product 3,Loading,7,11
Product 3,Loading,1,11
Product 2,Packaging,4,12
Product 2,Loading,3,12
Product 2,Packaging,4,13
Product 2,Packaging,2,13
Product 2,Loading,4,13
Product 3,Loading,5,13
Product 2,Loading,1,14
Product 2,Loading,4,14
