POPULATION_SIZE,CXPB,MU_INDPB,NGEN,TOURNAMENT_SIZE,MAKESPAN,EMPTY_MACHINE,PRODUCTS_WAITING
100,1.0,0.01,4000,4,16,214,38
100,1.0,0.03,4000,4,19,422,62
100,1.0,0.05,4000,4,23,625,73
100,1.0,0.07,4000,4,25,813,83
100,1.0,0.09000000000000001,4000,4,21,866,73
100,1.0,0.11000000000000001,4000,4,25,1109,92
100,1.0,0.13,4000,4,38,1335,98
100,1.0,0.15,4000,4,26,1345,106
100,1.0,0.16999999999999998,4000,4,34,1543,87
100,1.0,0.18999999999999997,4000,4,40,1689,131
100,1.0,0.20999999999999996,4000,4,34,1712,146
100,1.0,0.22999999999999995,4000,4,32,1664,133
100,1.0,0.24999999999999994,4000,4,27,1417,119
100,0.95,0.01,4000,4,16,208,32
100,0.95,0.03,4000,4,17,345,49
100,0.95,0.05,4000,4,22,537,79
100,0.95,0.07,4000,4,28,1007,99
100,0.95,0.09000000000000001,4000,4,26,879,72
100,0.95,0.11000000000000001,4000,4,23,1004,104
100,0.95,0.13,4000,4,27,1515,109
100,0.95,0.15,4000,4,33,1536,126
100,0.95,0.16999999999999998,4000,4,32,2276,146
100,0.95,0.18999999999999997,4000,4,29,1239,116
100,0.95,0.20999999999999996,4000,4,30,1637,108
100,0.95,0.22999999999999995,4000,4,38,2019,126
100,0.95,0.24999999999999994,4000,4,34,2003,161
100,0.8999999999999999,0.01,4000,4,15,231,36
100,0.8999999999999999,0.03,4000,4,17,294,52
100,0.8999999999999999,0.05,4000,4,23,826,82
100,0.8999999999999999,0.07,4000,4,24,917,89
100,0.8999999999999999,0.09000000000000001,4000,4,35,1194,100
100,0.8999999999999999,0.11000000000000001,4000,4,26,1208,118
100,0.8999999999999999,0.13,4000,4,27,1203,105
100,0.8999999999999999,0.15,4000,4,29,1437,126
100,0.8999999999999999,0.16999999999999998,4000,4,29,1453,105
100,0.8999999999999999,0.18999999999999997,4000,4,31,1767,132
100,0.8999999999999999,0.20999999999999996,4000,4,36,2001,144
100,0.8999999999999999,0.22999999999999995,4000,4,35,2098,152
100,0.8999999999999999,0.24999999999999994,4000,4,33,2196,158
100,0.8499999999999999,0.01,4000,4,15,110,29
100,0.8499999999999999,0.03,4000,4,18,478,54
100,0.8499999999999999,0.05,4000,4,22,599,65
100,0.8499999999999999,0.07,4000,4,25,863,87
100,0.8499999999999999,0.09000000000000001,4000,4,26,990,91
100,0.8499999999999999,0.11000000000000001,4000,4,27,1103,107
100,0.8499999999999999,0.13,4000,4,28,1843,129
100,0.8499999999999999,0.15,4000,4,26,1366,101
100,0.8499999999999999,0.16999999999999998,4000,4,43,2195,175
100,0.8499999999999999,0.18999999999999997,4000,4,29,1593,155
100,0.8499999999999999,0.20999999999999996,4000,4,34,2050,140
100,0.8499999999999999,0.22999999999999995,4000,4,33,1881,206
100,0.8499999999999999,0.24999999999999994,4000,4,29,1742,132
100,0.7999999999999998,0.01,4000,4,15,199,43
100,0.7999999999999998,0.03,4000,4,20,474,67
100,0.7999999999999998,0.05,4000,4,22,771,79
100,0.7999999999999998,0.07,4000,4,23,924,105
100,0.7999999999999998,0.09000000000000001,4000,4,29,1370,103
100,0.7999999999999998,0.11000000000000001,4000,4,34,1570,104
100,0.7999999999999998,0.13,4000,4,30,1863,132
100,0.7999999999999998,0.15,4000,4,34,1602,109
100,0.7999999999999998,0.16999999999999998,4000,4,27,1479,114
100,0.7999999999999998,0.18999999999999997,4000,4,33,2039,174
100,0.7999999999999998,0.20999999999999996,4000,4,32,1572,119
